Win,WardsPlaced,WardsDestroyed,Dragons,Heralds,TowersDestroyed,TotalMinionsKilled,TotalJungleMinionsKilled
1.0,0.072,0.07407407407407407,1.0,0.0,0.0,0.6925795053003534,0.5217391304347826
0.0,0.06,0.037037037037037035,0.0,0.0,0.0,0.6537102473498233,0.34782608695652173
1.0,0.08,0.1111111111111111,0.0,0.0,0.0,0.8303886925795053,0.6630434782608695
1.0,0.092,0.18518518518518517,0.0,1.0,0.0,0.823321554770318,0.5652173913043478
1.0,0.06,0.0,0.0,0.0,0.0,0.8621908127208481,0.4891304347826087
0.0,0.064,0.037037037037037035,0.0,0.0,0.0,0.773851590106007,0.43478260869565216
1.0,0.08,0.037037037037037035,1.0,0.0,0.0,0.8798586572438163,0.5652173913043478
0.0,0.092,0.07407407407407407,0.0,0.0,0.0,0.6289752650176679,0.4673913043478261
1.0,0.068,0.037037037037037035,1.0,0.0,0.0,0.9045936395759717,0.5217391304347826
1.0,0.068,0.07407407407407407,1.0,0.0,0.0,0.7773851590106007,0.5217391304347826
1.0,0.056,0.07407407407407407,1.0,1.0,0.0,0.657243816254417,0.4782608695652174
0.0,0.132,0.18518518518518517,1.0,0.0,0.0,0.8303886925795053,0.5760869565217391
0.0,0.076,0.18518518518518517,0.0,0.0,0.0,0.7243816254416962,0.40217391304347827
0.0,0.06,0.07407407407407407,1.0,0.0,0.25,0.7243816254416962,0.5217391304347826
1.0,0.06,0.07407407407407407,0.0,0.0,0.0,0.696113074204947,0.45652173913043476
1.0,0.088,0.18518518518518517,0.0,0.0,0.0,0.7067137809187279,0.5543478260869565
1.0,0.064,0.037037037037037035,0.0,0.0,0.0,0.5724381625441696,0.44565217391304346
1.0,0.328,0.14814814814814814,1.0,1.0,0.0,0.7067137809187279,0.5652173913043478
1.0,0.088,0.1111111111111111,1.0,1.0,0.25,0.9045936395759717,0.5978260869565217
0.0,0.048,0.037037037037037035,0.0,0.0,0.0,0.7597173144876325,0.5543478260869565
1.0,0.076,0.14814814814814814,0.0,1.0,0.0,0.8197879858657244,0.5760869565217391
1.0,0.076,0.1111111111111111,0.0,0.0,0.0,0.7985865724381626,0.40217391304347827
1.0,0.06,0.07407407407407407,0.0,0.0,0.0,0.6501766784452296,0.30434782608695654
1.0,0.192,0.0,1.0,1.0,0.0,0.6925795053003534,0.6956521739130435
0.0,0.048,0.1111111111111111,1.0,0.0,0.0,0.8162544169611308,0.7065217391304348
0.0,0.064,0.07407407407407407,1.0,0.0,0.0,0.8056537102473498,0.4782608695652174
0.0,0.048,0.1111111111111111,0.0,0.0,0.0,0.8127208480565371,0.4782608695652174
1.0,0.076,0.14814814814814814,0.0,0.0,0.0,0.8692579505300353,0.5217391304347826
1.0,0.156,0.1111111111111111,0.0,0.0,0.0,0.7667844522968198,0.8804347826086957
1.0,0.088,0.1111111111111111,0.0,0.0,0.0,0.7915194346289752,0.5
1.0,0.14,0.07407407407407407,1.0,0.0,0.0,0.7950530035335689,0.5652173913043478
1.0,0.056,0.1111111111111111,1.0,0.0,0.0,0.7385159010600707,0.5652173913043478
0.0,0.052,0.1111111111111111,0.0,0.0,0.0,0.6890459363957597,0.6413043478260869
